,fighter_name,win_loss,avg_str
259,Kevin Holland,0.6364,77.0
260,Niko Price,0.5333,19.8418
261,Jailton Almeida,0.875,2.46
262,Phil Rowe,0.6667,4.97
263,Mitch Raposo,0.0,2.29
264,Edson Barboza,0.6207,48.0
265,Khaos Williams,0.7143,22.22
266,Adrian Yanez,0.75,10.77
267,Victor Martinez,0.5,7.94
268,Tamires Vidal,0.3333,3.2
269,Piera Rodriguez,0.75,3.64
270,Alatengheili,0.6667,2.64
271,Vanessa Demopoulos,0.625,3.98
272,Derrick Lewis,0.6429,27.6667
273,Joaquin Buckley,0.6923,4.89
274,Alonzo Menifield,0.7143,21.1528
275,Diego Ferreira,0.6429,31.5714
276,Alex Caceres,0.5714,48.4211
277,Waldo Cortes-Acosta,0.8333,5.64
278,Chase Hooper,0.7,21.1528
279,Terrance McKinney,0.5556,4.53
280,Tabatha Ricci,0.75,4.63
281,Billy Ray Goff,1.0,8.56
282,JJ Aldrich,0.6429,64.5
283,Michel Pereira,0.8182,19.8418
284,Paul Craig,0.5294,31.0
285,Elves Brener,0.75,3.99
286,Joaquim Silva,0.6,49.0
287,Dione Barbosa,1.0,1.85
288,Ismael Bonfim,0.6667,5.8
289,Alessandro Costa,0.5,4.14
290,Tim Means,0.5357,83.0
291,Rani Yahya,0.68,40.0
292,Don'Tale Mayes,0.5455,4.25
293,Marnic Mann,0.0,1.47
294,James Llontop,0.3333,5.57
295,Ivana Petrovic,0.5,2.19
296,Gabriel Benitez,0.5,44.8333
297,Zhang Weili,0.8,6.36
298,Justin Gaethje,0.6667,113.667
299,Jiri Prochazka,0.8,7.19
300,Calvin Kattar,0.5833,80.0
301,Holly Holm,0.5714,56.1667
302,Sodiq Yusuff,0.7778,23.0
303,Jalin Turner,0.6667,31.0
304,Deiveson Figueiredo,0.8125,26.3333
305,Brendan Allen,0.8667,4.1
306,Alexander Hernandez,0.4615,23.5
307,Ignacio Bahamondes,0.7143,7.91
308,Valter Walker,0.0,1.86
309,Norma Dumont,0.7778,4.98
310,Pedro Falcao,1.0,2.9
311,Dylan Budka,0.5,1.07
312,Nursulton Ruziboev,1.0,2.5
313,Bill Algeo,0.5,9.8
314,Virna Jandiroba,0.6667,19.8418
315,Julio Arce,0.6,72.0
316,Angel Pacheco,0.0,9.5
317,Amanda Ribas,0.7,4.84
318,Karl Williams,1.0,2.68
319,Billy Quarantillo,0.7,21.1528
320,Fernando Padilla,0.5,6.48
321,Ricardo Ramos,0.5833,47.0
322,Miles Johns,0.75,4.03
323,Jarno Errens,0.3333,3.29
324,Montserrat Rendon,1.0,3.13
325,Igor Severino,1.0,7.17
326,Ovince Saint Preux,0.6176,47.0
327,Christian Rodriguez,0.8333,3.65
328,Pannie Kianzad,0.5,21.1528
329,Natan Levy,0.75,3.7
330,Josiane Nunes,0.75,10.61
331,Jafel Filho,0.6667,2.36
332,Charalampos Grigoriou,0.5,2.62
333,Dustin Poirier,0.7419,77.0
334,Curtis Blaydes,0.7647,44.6667
335,Katlyn Cerminara,0.6875,4.58
336,Pedro Munhoz,0.5263,43.8
337,Robelis Despaigne,0.5,2.16
338,Joanne Wood,0.5,7.1
339,Jairzinho Rozenstruik,0.6154,19.8418
340,Vitor Petrino,1.0,2.82
341,Umar Nurmagomedov,1.0,4.46
342,Eryk Anders,0.5,51.0
343,Vinicius Oliveira,1.0,5.87
344,Abdul-Kareem Al-Selwady,1.0,4.14
345,Yair Rodriguez,0.7692,57.4
346,Cristian Quinonez,0.6667,4.19
347,Jesus Aguilar,0.75,1.46
348,Claudio Puelles,0.7143,29.0
349,Victor Altamirano,0.5,4.58
350,Erik Silva,0.5,2.07
351,Alexander Volkanovski,0.8667,75.6
352,Merab Dvalishvili,0.8333,56.6667
353,Marcos Rogerio de Lima,0.5556,21.1528
354,Rinya Nakamura,1.0,3.53
355,Jack Hermansson,0.625,88.0
356,Robert Bryczek,,2.13
357,Michael Johnson,0.4643,49.15
358,Rodolfo Vieira,0.6667,3.19
359,Trevin Giles,0.5385,55.5
360,Loma Lookboonmee,0.7143,6.6
361,Devin Clark,0.5,43.0
362,Max Griffin,0.5,52.1667
363,Zac Pauga,0.3333,4.46
364,Fernie Garcia,0.25,2.04
365,Gilbert Urbina,0.5,6.21
366,Azat Maksum,1.0,2.8
367,Landon Quinones,0.0,6.77
368,Thomas Petersen,0.5,4.32
369,Chris Curtis,0.75,5.76
370,Gillian Robertson,0.6471,21.1528
371,Yohan Lainesse,0.5,2.22
372,Malcolm Gordon,0.3333,2.5
373,Phil Hawes,0.5556,5.33
374,Marcus McGhee,1.0,6.06
375,Westin Wilson,0.0,1.68
376,Nikolas Motta,0.6,3.64
377,Josh Emmett,0.6923,70.5
378,Cody Garbrandt,0.6429,56.5
379,Tagir Ulanbekov,0.75,3.22
380,Andre Fili,0.5238,55.0
381,Martin Buday,0.8333,4.84
382,Song Yadong,0.8333,23.5
383,Tim Elliott,0.4211,79.0
384,JunYong Park,0.7,6.41
385,HyunSung Park,1.0,4.15
386,Tatsuro Taira,1.0,3.56
387,Beneil Dariush,0.7619,39.1667
388,Sean Brady,0.8571,7.93
389,Punahele Soriano,0.5,21.1528
390,Miesha Tate,0.6,35.7143
391,Drakkar Klose,0.8,68.0
392,Rodolfo Bellato,0.5,6.47
393,Wellington Turman,0.375,19.8418
394,Michael Morales,1.0,5.42
395,Uros Medic,0.6667,19.91
396,Lucie Pudilova,0.3,99.0
397,Matt Frevola,0.6,37.5
398,Diego Lopes,0.6667,4.2
399,Steve Erceg,0.75,4.37
400,Jared Gordon,0.6154,84.0
401,Rodrigo Nascimento,0.7143,5.46
402,Caio Borralho,1.0,3.61
403,Kaue Fernandes,0.0,3.04
404,Kamaru Usman,0.8824,58.5556
405,Ikram Aliskerov,1.0,7.03
406,Said Nurmagomedov,0.75,65.0
407,Abu Azaitar,0.5,19.8418
408,Mike Breeden,0.0,5.75
409,Jennifer Maia,0.5455,42.0
410,Tainara Lisboa,1.0,2.05
411,Irina Alekseeva,1.0,3.84
412,Ashley Yoder,0.3,44.0
413,Alex Morono,0.65,66.3333
414,Nate Maness,0.6667,3.14
415,Aoriqileng,0.5,5.31
416,Montana De La Rosa,0.5,31.0
417,Rafael Fiziev,0.6,19.8418
418,Bryan Battle,0.8571,6.34
419,Jacob Malkoun,0.5,3.86
420,Mizuki,0.5,4.56
421,Loopy Godinez,0.6364,4.31
422,Roman Kopylov,0.5714,21.1528
423,Tracy Cortez,1.0,19.8418
424,Alex Reyes,0.0,19.8418
425,Israel Adesanya,0.8125,76.0
426,Manel Kape,0.6667,4.44
427,Justin Tafa,0.5714,5.15
428,Tyson Pedro,0.6,19.8418
429,Carlos Ulberg,0.875,15.07
430,Jamie Mullarkey,0.5,4.39
431,Blood Diamond,0.0,3.12
432,Shane Young,0.3333,61.0
433,Manon Fiorot,1.0,8.0
434,Benoit Saint Denis,0.7143,5.7
435,Ange Loosa,0.5,5.6
436,Zarah Fairn,0.0,4.55
437,Max Holloway,0.7586,85.6316
438,Giga Chikadze,0.8,3.92
439,Liang Na,0.0,1.99
440,SeungWoo Choi,0.4444,21.1528
441,Aljamain Sterling,0.8,54.0
442,Da'Mon Blackshear,0.4,4.3
443,Gregory Rodrigues,0.6667,5.52
444,Karine Silva,1.0,3.04
445,Khalil Rountree Jr.,0.6429,19.8418
446,Polyana Viana,0.4444,29.0
447,AJ Dobson,0.5,4.29
448,JP Buys,0.2,2.66
449,Francis Marshall,0.5,3.69
450,Josh Parisian,0.5,7.07
451,Juliana Miller,0.5,3.31
452,Dustin Jacoby,0.6154,21.1528
453,Tanner Boser,0.4444,19.8418
454,Kyler Phillips,0.875,18.26
455,Jeremiah Wells,0.8,2.41
456,Sean Woodson,0.8571,5.58
457,Ode Osbourne,0.5,4.12
458,Jan Blachowicz,0.6667,48.4444
459,Jake Matthews,0.6316,60.0
460,Davey Grant,0.5455,45.0
461,Danny Roberts,0.5385,49.0
462,Marc Diakiese,0.5,48.0
463,Makhmud Muradov,0.6,21.1528
464,Chris Duncan,0.6,4.88
465,Jack Della Maddalena,1.0,7.27
466,Ottman Azaitar,0.6667,7.61
467,Albert Duraev,0.75,2.99
468,Nazim Sadykhov,1.0,4.94
469,Tucker Lutz,0.6,5.09
470,Austin Lingo,0.5,4.0
471,Tyson Nam,0.4286,3.87
472,Alexander Munoz,0.3333,3.96
473,Ashlee Evans-Smith,0.375,54.3333
474,Robbie Lawler,0.5714,51.7895
475,Jimmy Crute,0.625,21.1528
476,Cameron Saaiman,0.8,5.32
477,Shannon Ross,0.0,5.96
478,Kamuela Kirk,0.3333,3.27
479,Damir Ismagulov,0.8333,34.0
480,Kevin Lee,0.6111,56.0
481,Joanderson Brito,0.8571,3.35
482,Zhalgas Zhumagulov,0.1667,5.24
483,Jamall Emmers,0.4286,8.27
484,Cody Brundage,0.4444,2.7
485,Marvin Vettori,0.6923,43.5
486,Arman Tsarukyan,0.8,19.8418
487,Armen Petrosyan,0.6667,5.95
488,Pat Sabatini,0.7143,2.02
489,Nicolas Dalby,0.7,62.5
490,Carlos Hernandez,0.5,4.11
491,Tereza Bleda,0.5,3.02
492,Amanda Nunes,0.8421,40.4
493,Kyle Nelson,0.5,20.0
494,David Dvorak,0.6,4.47
495,Diana Belbita,0.3333,6.72
496,Abubakar Nurmagomedov,0.6667,21.1528
497,Daniel Santos,0.5,4.26
498,Elise Reed,0.4286,3.5
499,Philipe Lins,0.6,3.8
500,Emily Ducote,0.5,7.45
501,Andre Fialho,0.3333,3.3
502,Orion Cosce,0.6667,3.7
503,Ilir Latifi,0.6,19.8418
504,Natalia Silva,1.0,5.19
505,Takashi Sato,0.3333,19.8418
506,Matt Brown,0.5517,37.5556
507,Ji Yeon Kim,0.3333,67.0
508,Jessica-Rose Clark,0.5,101.0
509,Belal Muhammad,0.8235,77.0
510,Kron Gracie,0.3333,19.8418
511,Braxton Smith,,6.46
512,Joseph Holmes,0.5,2.88
513,Stephanie Egger,0.5,2.2
514,Journey Newson,0.25,2.81
515,Hailey Cowan,1.0,2.97
516,Iasmin Lucindo,0.75,3.95
517,Ricky Glenn,0.4444,4.39
518,Zak Cummings,0.6429,28.9
519,Lando Vannata,0.4,57.8333
520,Bruna Brasil,0.5,2.94
521,Aaron Phillips,0.0,19.8418
522,Cynthia Calvillo,0.5455,39.0
523,Shayilan Nuerdanbieke,0.6,1.95
524,Daniel Pineda,0.4167,21.6667
525,Steven Peterson,0.375,73.5
526,Gunnar Nelson,0.6429,26.6
527,Alexander Volkov,0.75,100.667
528,Nikita Krylov,0.5882,45.0
529,Mario Bautista,0.8,19.8418
530,Raphael Assuncao,0.6522,47.8889
531,Victor Henry,0.75,8.67
532,Carlston Harris,0.8,5.27
533,Valentina Shevchenko,0.8,59.4286
534,Derek Brunson,0.7083,41.0
535,Mana Martinez,0.5,4.84
536,Esteban Ribovics,0.75,7.53
537,Andre Muniz,0.7778,19.8418
538,Augusto Sakai,0.5556,111.0
539,Tatiana Suarez,1.0,43.5
540,Erick Gonzalez,0.0,2.4
541,Jordan Leavitt,0.7143,2.55
542,Joe Solecki,0.75,21.1528
543,Rafael Alves,0.5,2.01
544,Jordan Wright,0.3333,7.79
545,William Knight,0.625,6.61
546,Lina Lansberg,0.4,47.0
547,AJ Fletcher,0.5,3.36
548,Zubaira Tukhugov,0.7143,37.5
549,Da Woon Jung,0.5714,3.49
550,Yusaku Kinoshita,0.5,4.65
551,SeungGuk Choi,1.0,2.69
552,Glover Teixeira,0.7308,60.0
553,Lauren Murphy,0.6154,63.0
554,Mauricio Rua,0.675,48.25
555,Shamil Abdurakhimov,0.5,39.3333
556,Luan Lacerda,0.0,4.52
557,Warlley Alves,0.5333,33.0
558,Saimon Oliveira,0.5,2.82
559,Javid Basharat,1.0,5.42
560,Claudio Ribeiro,0.5,3.59
561,Allan Nascimento,0.3333,3.21
562,Amir Albazi,1.0,2.8
563,Cheyanne Vlismas,0.75,4.93
564,Rafa Garcia,0.5714,4.19
565,Sergey Morozov,0.5,3.01
566,Paddy Pimblett,1.0,10.64
567,Darren Till,0.6,38.5
568,TJ Brown,0.5,3.87
569,Bryan Barberena,0.5,78.5
570,Marcelo Rojo,0.0,5.1
571,Chase Sherman,0.2857,73.25
572,Vince Morales,0.3333,74.0
573,Ricky Turcios,0.5,7.0
574,Frankie Edgar,0.6429,65.2222
575,Dan Hooker,0.619,55.5
576,Brad Riddell,0.6667,6.07
577,Michael Trizano,0.5,46.5
578,Darrick Minner,0.3333,6.85
579,Liudvik Sholinian,0.0,2.5
580,Carlos Candelario,0.3333,3.97
581,Katlyn Chookagian,0.7333,61.1667
582,Misha Cirkunov,0.5,33.3333
583,Nick Maximov,0.75,1.93
584,Mike Jackson,0.5,19.8418
585,Raoni Barcelos,0.6,82.0
586,Mike Davis,0.6,19.8418
587,Krzysztof Jotko,0.6875,40.6
588,Julija Stoliarenko,0.2857,21.1528
589,Guido Cannetti,0.4444,35.0
590,Denise Gomes,0.6667,4.55
591,Trey Ogden,0.5,3.07
592,Mariya Agapova,0.3333,4.67
593,Tony Gravely,0.625,19.8418
594,Nate Diaz,0.6129,47.4545
595,Khamzat Chimaev,1.0,8.88
596,Hakeem Dawodu,0.6667,39.0
597,Denis Tiuliulin,0.2,3.61
598,Jake Collier,0.3846,41.0
599,Darian Weeks,0.0,4.49
600,Alessio Di Chirico,0.4,65.0
601,John Makdessi,0.5789,74.0
602,Khalid Taha,0.25,32.0
603,Paulo Costa,0.6667,38.0
604,Wu Yanan,0.2,22.0
605,Leonardo Santos,0.7778,28.0
606,Daniel Lacerda,0.0,3.95
607,Priscila Cachoeira,0.4444,38.5
608,Bruno Silva,0.4444,4.12
609,Jason Witt,0.4,3.16
610,Thiago Santos,0.6087,32.1765
611,Brogan Walker,0.0,2.04
612,Sam Alvey,0.4545,82.0
613,Cory McKenna,0.6667,3.13
614,Julianna Pena,0.7,35.0
615,Nicolae Negumereanu,0.8,21.1528
616,Mason Jones,0.5,5.61
617,Makwan Amirkhani,0.5385,19.8418
618,Mandy Bohm,0.0,2.51
619,Claudio Silva,0.7143,36.0
620,Shane Burgos,0.7,85.25
621,Dwight Grant,0.5,25.0
622,Rafael Dos Anjos,0.6,47.9231
623,Jared Vanderaa,0.2857,5.59
624,Antonina Shevchenko,0.5,66.0
625,Ronnie Lawrence,1.0,3.8
626,Ian Garry,1.0,5.5
627,Uriah Hall,0.5556,44.0
628,Jessica Eye,0.3571,65.0
629,Raulian Paiva,0.5714,19.8418
630,Maria Oliveira,0.25,5.03
631,Eddie Wineland,0.5,46.5
632,Ramona Pascual,0.0,3.87
633,Felice Herrig,0.5556,45.4286
634,Niklas Stolze,0.0,2.29
635,Johnny Munoz,0.4,2.79
636,Jeff Molina,1.0,8.83
637,Omar Morales,0.5714,3.85
638,Frank Camacho,0.2857,154.0
639,Michael Chandler,0.5714,4.89
640,Francisco Trinaldo,0.72,38.6875
641,Macy Chiasson,0.7,24.5
642,Blagoy Ivanov,0.4286,61.5
643,Kleydson Rodrigues,0.5,4.58
644,Ariane Carnelossi,0.5,6.03
645,Gabe Green,0.5,8.47
646,Gina Mazany,0.2857,25.3333
647,Maycee Barber,0.8182,68.0
648,Preston Parsons,0.5,6.08
649,Marcin Prachnio,0.4444,19.8418
650,Dean Barry,,9.31
651,Mounir Lazzez,0.6667,7.49
652,Chris Barnett,0.5,4.64
653,Istela Nunes,0.0,5.02
654,Vinc Pichel,0.7,36.0
655,Aspen Ladd,0.6667,38.0
656,Aleksei Oleinik,0.5625,21.1528
657,Askar Askarov,1.0,19.8418
658,Sara McMann,0.625,23.25
659,Aliaskhab Khizriev,1.0,6.01
660,Luis Saldana,0.6667,5.16
661,Mike Grundy,0.3333,21.1528
662,Marlon Moraes,0.6154,44.5
663,Trevin Jones,0.25,3.84
664,Sabina Mazo,0.5,21.1528
665,Dalcha Lungiambula,0.3333,19.8418
666,Kris Moutinho,0.0,4.86
667,Tafon Nchukwi,0.5,7.59
668,Colby Covington,0.8,35.3333
669,Serghei Spivac,0.6364,19.8418
670,Maryna Moroz,0.5455,40.6
671,Devonte Smith,0.6667,21.1528
672,Alejandro Perez,0.7273,40.2222
673,Ramiz Brahimaj,0.4,3.15
674,Kyle Daukaus,0.5,4.53
675,Parker Porter,0.5714,8.54
676,Chas Skelly,0.6364,19.8418
677,Bobby Green,0.5833,61.8889
678,Roxanne Modafferi,0.3077,87.0
679,Alexis Davis,0.5625,49.0
680,Francis Ngannou,0.8462,30.5
681,Silvana Gomez Juarez,0.3333,4.26
682,Kay Hansen,0.3333,3.01
683,Dakota Bush,0.0,2.77
684,Jamie Pickett,0.2727,2.87
685,Dustin Stoltzfus,0.375,3.68
686,Sijara Eubanks,0.5556,75.0
687,Ryan Hall,0.8,34.5
688,Randy Costa,0.4,19.8418
689,Maki Pitolo,0.3333,5.42
690,Louis Smolka,0.5,92.0
691,Ben Rothwell,0.6667,27.6
692,Felicia Spencer,0.4,19.8418
693,Cortney Casey,0.4286,67.5
694,Al Iaquinta,0.6429,57.6667
695,Gian Villante,0.4545,53.4
696,Melsik Baghdasaryan,0.75,6.69
697,Shamil Gamzatov,1.0,21.1528
698,Hu Yaozong,0.0,19.8418
699,Khama Worthy,0.5,4.94
700,Livinha Souza,0.6,21.1528
701,Andrew Sanchez,0.5556,67.4
702,Batgerel Danaa,0.5,5.38
703,Charles Rosa,0.4167,47.5
704,Alex Oliveira,0.55,29.4545
705,Bethe Correia,0.5,78.0
706,Nick Diaz,0.7308,50.3333
