,fighter_name,win_loss,avg_td
211,Gabriel Bonfim,0.75,2.92
212,Julian Erosa,0.5333,2.0
213,Joshua Van,0.8,1.62
214,Jasmine Jasudavicius,0.75,2.5
215,Montel Jackson,0.8,4.84
216,Luana Santos,1.0,1.62
217,Josh Fremd,0.4,0.66
218,Evan Elder,0.3333,0.63
219,Dan Ige,0.6111,2.73
220,Anthony Smith,0.5556,1.32054
221,Mayra Bueno Silva,0.6667,1.39996
222,Ian Machado Garry,1.0,0.77
223,Joe Pyfer,0.6667,1.45
224,Cub Swanson,0.6129,1.5
225,Payton Talbott,1.0,0.0
226,Michelle Waterson-Gomez,0.5,1.39
227,Andrei Arlovski,0.5435,0.52
228,Rei Tsuruya,1.0,5.45
229,Ricky Simon,0.6923,7.07
230,Sergei Pavlovich,0.75,1.32054
231,Kelvin Gastelum,0.5714,3.0
232,Johnny Walker,0.6154,1.32054
233,Nasrat Haqparast,0.6667,1.32054
234,Muhammad Naimov,0.75,1.8
235,Kyung Ho Kang,0.6667,5.0
236,Magomed Gadzhiyasulov,1.0,5.5
237,Alex Perez,0.6667,3.5
238,Douglas Silva de Andrade,0.5833,1.39996
239,Timmy Cuamba,0.5,1.0
240,Brady Hiestand,0.6667,6.0
241,Asu Almabayev,1.0,6.68
242,Josh Quinlan,0.3333,0.34
243,Jimmy Flick,0.6,1.81
244,Carli Judice,0.0,1.0
245,Jeka Saragih,0.75,2.21
246,Melquizael Costa,0.3333,2.5
247,Josefine Knutsson,1.0,2.0
248,Brunno Ferreira,0.8,0.89
249,Julian Marquez,0.5714,1.39996
250,Miguel Baeza,0.5714,0.67
251,Thiago Moises,0.6154,1.47
252,Charles Radtke,0.6667,0.61
253,Andrea Lee,0.4167,3.0
254,John Castaneda,0.7143,2.0
255,Eduarda Moura,0.6667,5.15
256,Rayanne dos Santos,0.0,0.33
257,Islam Makhachev,0.9333,3.46
258,Sean Strickland,0.7143,1.75
259,Kevin Holland,0.6364,2.5
260,Niko Price,0.5333,1.32054
261,Jailton Almeida,0.875,6.85
262,Phil Rowe,0.6667,0.87
263,Mitch Raposo,0.0,1.94
264,Edson Barboza,0.6207,2.0
265,Khaos Williams,0.7143,0.0
266,Adrian Yanez,0.75,0.0
267,Victor Martinez,0.5,0.7
268,Tamires Vidal,0.3333,0.0
269,Piera Rodriguez,0.75,3.11
270,Alatengheili,0.6667,1.99
271,Vanessa Demopoulos,0.625,0.58
272,Derrick Lewis,0.6429,1.39996
273,Joaquin Buckley,0.6923,1.96
274,Alonzo Menifield,0.7143,1.39996
275,Diego Ferreira,0.6429,1.32054
276,Alex Caceres,0.5714,1.39996
277,Waldo Cortes-Acosta,0.8333,0.55
278,Chase Hooper,0.7,1.45
279,Terrance McKinney,0.5556,4.33
280,Tabatha Ricci,0.75,2.99
281,Billy Ray Goff,1.0,2.01
282,JJ Aldrich,0.6429,1.32054
283,Michel Pereira,0.8182,2.01
284,Paul Craig,0.5294,2.06
285,Elves Brener,0.75,1.23
286,Joaquim Silva,0.6,1.39996
287,Dione Barbosa,1.0,1.73
288,Ismael Bonfim,0.6667,1.07
289,Alessandro Costa,0.5,0.27
290,Tim Means,0.5357,1.39996
291,Rani Yahya,0.68,3.0
292,Don'Tale Mayes,0.5455,0.65
293,Marnic Mann,0.0,1.9
294,James Llontop,0.3333,0.0
295,Ivana Petrovic,0.5,2.83
296,Gabriel Benitez,0.5,1.39996
297,Zhang Weili,0.8,2.51
298,Justin Gaethje,0.6667,1.32054
299,Jiri Prochazka,0.8,0.98
300,Calvin Kattar,0.5833,2.0
301,Holly Holm,0.5714,1.32054
302,Sodiq Yusuff,0.7778,1.32054
303,Jalin Turner,0.6667,1.32054
304,Deiveson Figueiredo,0.8125,1.81
305,Brendan Allen,0.8667,3.74
306,Alexander Hernandez,0.4615,2.15
307,Ignacio Bahamondes,0.7143,0.0
308,Valter Walker,0.0,4.52
309,Norma Dumont,0.7778,4.27
310,Pedro Falcao,1.0,2.07
311,Dylan Budka,0.5,3.38
312,Nursulton Ruziboev,1.0,0.77
313,Bill Algeo,0.5,1.03
314,Virna Jandiroba,0.6667,4.23
315,Julio Arce,0.6,1.32054
316,Angel Pacheco,0.0,0.0
317,Amanda Ribas,0.7,2.71
318,Karl Williams,1.0,4.2
319,Billy Quarantillo,0.7,1.66
320,Fernando Padilla,0.5,0.0
321,Ricardo Ramos,0.5833,3.08
322,Miles Johns,0.75,2.0
323,Jarno Errens,0.3333,0.0
324,Montserrat Rendon,1.0,3.0
325,Igor Severino,1.0,9.69
326,Ovince Saint Preux,0.6176,1.34
327,Christian Rodriguez,0.8333,1.07
328,Pannie Kianzad,0.5,1.88
329,Natan Levy,0.75,5.03
330,Josiane Nunes,0.75,0.0
331,Jafel Filho,0.6667,1.77
332,Charalampos Grigoriou,0.5,2.62
333,Dustin Poirier,0.7419,2.5
334,Curtis Blaydes,0.7647,7.05
335,Katlyn Cerminara,0.6875,0.31
336,Pedro Munhoz,0.5263,1.32054
337,Robelis Despaigne,0.5,0.0
338,Joanne Wood,0.5,1.52
339,Jairzinho Rozenstruik,0.6154,1.32054
340,Vitor Petrino,1.0,3.98
341,Umar Nurmagomedov,1.0,3.98
342,Eryk Anders,0.5,2.4
343,Vinicius Oliveira,1.0,1.38
344,Abdul-Kareem Al-Selwady,1.0,2.32
345,Yair Rodriguez,0.7692,2.0
346,Cristian Quinonez,0.6667,1.37
347,Jesus Aguilar,0.75,1.75
348,Claudio Puelles,0.7143,3.35
349,Victor Altamirano,0.5,3.43
350,Erik Silva,0.5,3.76
351,Alexander Volkanovski,0.8667,4.0
352,Merab Dvalishvili,0.8333,11.0
353,Marcos Rogerio de Lima,0.5556,1.4
354,Rinya Nakamura,1.0,3.72
355,Jack Hermansson,0.625,2.23
356,Robert Bryczek,,0.0
357,Michael Johnson,0.4643,1.32054
358,Rodolfo Vieira,0.6667,6.05
359,Trevin Giles,0.5385,5.0
360,Loma Lookboonmee,0.7143,1.9
361,Devin Clark,0.5,3.03
362,Max Griffin,0.5,1.9
363,Zac Pauga,0.3333,0.38
364,Fernie Garcia,0.25,0.28
365,Gilbert Urbina,0.5,4.14
366,Azat Maksum,1.0,2.0
367,Landon Quinones,0.0,0.5
368,Thomas Petersen,0.5,2.49
369,Chris Curtis,0.75,0.0
370,Gillian Robertson,0.6471,3.44
371,Yohan Lainesse,0.5,0.94
372,Malcolm Gordon,0.3333,1.72
373,Phil Hawes,0.5556,2.7
374,Marcus McGhee,1.0,0.84
375,Westin Wilson,0.0,1.68
376,Nikolas Motta,0.6,0.0
377,Josh Emmett,0.6923,4.0
378,Cody Garbrandt,0.6429,2.0
379,Tagir Ulanbekov,0.75,3.71
380,Andre Fili,0.5238,3.0
381,Martin Buday,0.8333,0.21
382,Song Yadong,0.8333,1.39996
383,Tim Elliott,0.4211,4.375
384,JunYong Park,0.7,3.04
385,HyunSung Park,1.0,1.54
386,Tatsuro Taira,1.0,2.73
387,Beneil Dariush,0.7619,2.11
388,Sean Brady,0.8571,3.49
389,Punahele Soriano,0.5,3.28
390,Miesha Tate,0.6,3.0
391,Drakkar Klose,0.8,2.0
392,Rodolfo Bellato,0.5,1.09
393,Wellington Turman,0.375,3.0
394,Michael Morales,1.0,1.66
395,Uros Medic,0.6667,0.38
396,Lucie Pudilova,0.3,1.32054
397,Matt Frevola,0.6,3.3
398,Diego Lopes,0.6667,0.5
399,Steve Erceg,0.75,1.16
400,Jared Gordon,0.6154,4.0
401,Rodrigo Nascimento,0.7143,2.9
402,Caio Borralho,1.0,1.56
403,Kaue Fernandes,0.0,0.76
404,Kamaru Usman,0.8824,6.0
405,Ikram Aliskerov,1.0,1.82
406,Said Nurmagomedov,0.75,1.32054
407,Abu Azaitar,0.5,1.32054
408,Mike Breeden,0.0,0.98
409,Jennifer Maia,0.5455,1.32054
410,Tainara Lisboa,1.0,2.05
411,Irina Alekseeva,1.0,0.87
412,Ashley Yoder,0.3,2.0
413,Alex Morono,0.65,1.32054
414,Nate Maness,0.6667,1.52
415,Aoriqileng,0.5,1.45
416,Montana De La Rosa,0.5,2.69
417,Rafael Fiziev,0.6,1.32054
418,Bryan Battle,0.8571,2.07
419,Jacob Malkoun,0.5,7.84
420,Mizuki,0.5,0.33
421,Loopy Godinez,0.6364,3.39
422,Roman Kopylov,0.5714,1.2
423,Tracy Cortez,1.0,3.0
424,Alex Reyes,0.0,1.5
425,Israel Adesanya,0.8125,1.32054
426,Manel Kape,0.6667,1.0
427,Justin Tafa,0.5714,0.0
428,Tyson Pedro,0.6,2.0
429,Carlos Ulberg,0.875,0.95
430,Jamie Mullarkey,0.5,3.9
431,Blood Diamond,0.0,0.0
432,Shane Young,0.3333,1.32054
433,Manon Fiorot,1.0,1.75
434,Benoit Saint Denis,0.7143,4.76
435,Ange Loosa,0.5,2.41
436,Zarah Fairn,0.0,0.0
437,Max Holloway,0.7586,1.32054
438,Giga Chikadze,0.8,0.51
439,Liang Na,0.0,3.6
440,SeungWoo Choi,0.4444,1.32054
441,Aljamain Sterling,0.8,3.5
442,Da'Mon Blackshear,0.4,2.33
443,Gregory Rodrigues,0.6667,2.74
444,Karine Silva,1.0,3.59
445,Khalil Rountree Jr.,0.6429,1.32054
446,Polyana Viana,0.4444,1.32054
447,AJ Dobson,0.5,1.67
448,JP Buys,0.2,2.22
449,Francis Marshall,0.5,2.68
450,Josh Parisian,0.5,0.98
451,Juliana Miller,0.5,1.84
452,Dustin Jacoby,0.6154,1.39996
453,Tanner Boser,0.4444,0.0
454,Kyler Phillips,0.875,3.2
455,Jeremiah Wells,0.8,3.08
456,Sean Woodson,0.8571,0.66
457,Ode Osbourne,0.5,1.27
458,Jan Blachowicz,0.6667,1.375
459,Jake Matthews,0.6316,4.0
460,Davey Grant,0.5455,2.64
461,Danny Roberts,0.5385,1.39996
462,Marc Diakiese,0.5,3.5
463,Makhmud Muradov,0.6,3.03
464,Chris Duncan,0.6,3.85
465,Jack Della Maddalena,1.0,0.36
466,Ottman Azaitar,0.6667,0.0
467,Albert Duraev,0.75,1.97
468,Nazim Sadykhov,1.0,1.71
469,Tucker Lutz,0.6,2.33
470,Austin Lingo,0.5,1.0
471,Tyson Nam,0.4286,0.0
472,Alexander Munoz,0.3333,3.0
473,Ashlee Evans-Smith,0.375,1.3333
474,Robbie Lawler,0.5714,1.8571
475,Jimmy Crute,0.625,4.97
476,Cameron Saaiman,0.8,0.91
477,Shannon Ross,0.0,0.0
478,Kamuela Kirk,0.3333,1.5
479,Damir Ismagulov,0.8333,5.0
480,Kevin Lee,0.6111,3.25
481,Joanderson Brito,0.8571,3.11
482,Zhalgas Zhumagulov,0.1667,2.0
483,Jamall Emmers,0.4286,2.76
484,Cody Brundage,0.4444,2.31
485,Marvin Vettori,0.6923,2.24
486,Arman Tsarukyan,0.8,3.38
487,Armen Petrosyan,0.6667,0.22
488,Pat Sabatini,0.7143,3.97
489,Nicolas Dalby,0.7,4.0
490,Carlos Hernandez,0.5,1.6
491,Tereza Bleda,0.5,1.81
492,Amanda Nunes,0.8421,2.73
493,Kyle Nelson,0.5,1.41
494,David Dvorak,0.6,0.58
495,Diana Belbita,0.3333,1.0
496,Abubakar Nurmagomedov,0.6667,5.29
497,Daniel Santos,0.5,1.9
498,Elise Reed,0.4286,0.58
499,Philipe Lins,0.6,1.65
500,Emily Ducote,0.5,0.2
501,Andre Fialho,0.3333,0.25
502,Orion Cosce,0.6667,1.92
503,Ilir Latifi,0.6,2.11
504,Natalia Silva,1.0,0.5
505,Takashi Sato,0.3333,1.32054
506,Matt Brown,0.5517,1.68
507,Ji Yeon Kim,0.3333,1.39996
508,Jessica-Rose Clark,0.5,2.0
509,Belal Muhammad,0.8235,2.5
510,Kron Gracie,0.3333,1.32054
511,Braxton Smith,,0.0
512,Joseph Holmes,0.5,1.49
513,Stephanie Egger,0.5,2.48
514,Journey Newson,0.25,0.56
515,Hailey Cowan,1.0,1.5
516,Iasmin Lucindo,0.75,2.4
517,Ricky Glenn,0.4444,0.72
518,Zak Cummings,0.6429,2.5
519,Lando Vannata,0.4,1.35
520,Bruna Brasil,0.5,1.93
521,Aaron Phillips,0.0,1.32054
522,Cynthia Calvillo,0.5455,1.97
523,Shayilan Nuerdanbieke,0.6,3.3
524,Daniel Pineda,0.4167,1.61
525,Steven Peterson,0.375,2.02
526,Gunnar Nelson,0.6429,1.9
527,Alexander Volkov,0.75,1.32054
528,Nikita Krylov,0.5882,2.29
529,Mario Bautista,0.8,2.25
530,Raphael Assuncao,0.6522,1.65
531,Victor Henry,0.75,0.84
532,Carlston Harris,0.8,1.97
533,Valentina Shevchenko,0.8,4.0
534,Derek Brunson,0.7083,4.0
535,Mana Martinez,0.5,1.73
536,Esteban Ribovics,0.75,0.93
537,Andre Muniz,0.7778,4.23
538,Augusto Sakai,0.5556,1.39996
539,Tatiana Suarez,1.0,6.2
540,Erick Gonzalez,0.0,6.0
541,Jordan Leavitt,0.7143,3.53
542,Joe Solecki,0.75,3.99
543,Rafael Alves,0.5,0.29
544,Jordan Wright,0.3333,2.09
545,William Knight,0.625,3.54
546,Lina Lansberg,0.4,1.32054
547,AJ Fletcher,0.5,1.54
548,Zubaira Tukhugov,0.7143,3.03
549,Da Woon Jung,0.5714,1.9
550,Yusaku Kinoshita,0.5,0.0
551,SeungGuk Choi,1.0,1.02
552,Glover Teixeira,0.7308,2.6667
553,Lauren Murphy,0.6154,1.32054
554,Mauricio Rua,0.675,2.17
555,Shamil Abdurakhimov,0.5,1.39996
556,Luan Lacerda,0.0,1.26
557,Warlley Alves,0.5333,2.0
558,Saimon Oliveira,0.5,1.21
559,Javid Basharat,1.0,1.7
560,Claudio Ribeiro,0.5,0.56
561,Allan Nascimento,0.3333,1.55
562,Amir Albazi,1.0,3.19
563,Cheyanne Vlismas,0.75,0.25
564,Rafa Garcia,0.5714,3.61
565,Sergey Morozov,0.5,3.81
566,Paddy Pimblett,1.0,0.91
567,Darren Till,0.6,1.32054
568,TJ Brown,0.5,8.33
569,Bryan Barberena,0.5,1.32054
570,Marcelo Rojo,0.0,1.03
571,Chase Sherman,0.2857,1.39996
572,Vince Morales,0.3333,1.32054
573,Ricky Turcios,0.5,1.0
574,Frankie Edgar,0.6429,4.0
575,Dan Hooker,0.619,1.39996
576,Brad Riddell,0.6667,2.0
577,Michael Trizano,0.5,1.39996
578,Darrick Minner,0.3333,3.11
579,Liudvik Sholinian,0.0,0.0
580,Carlos Candelario,0.3333,2.28
581,Katlyn Chookagian,0.7333,1.32054
582,Misha Cirkunov,0.5,4.48
583,Nick Maximov,0.75,4.16
584,Mike Jackson,0.5,1.32054
585,Raoni Barcelos,0.6,3.0
586,Mike Davis,0.6,2.77
587,Krzysztof Jotko,0.6875,1.33
588,Julija Stoliarenko,0.2857,1.39996
589,Guido Cannetti,0.4444,2.8
590,Denise Gomes,0.6667,0.88
591,Trey Ogden,0.5,2.04
592,Mariya Agapova,0.3333,0.59
593,Tony Gravely,0.625,6.11
594,Nate Diaz,0.6129,1.3333
595,Khamzat Chimaev,1.0,4.84
596,Hakeem Dawodu,0.6667,1.32054
597,Denis Tiuliulin,0.2,0.96
598,Jake Collier,0.3846,2.0
599,Darian Weeks,0.0,2.0
600,Alessio Di Chirico,0.4,2.0
601,John Makdessi,0.5789,1.32054
602,Khalid Taha,0.25,1.39996
603,Paulo Costa,0.6667,1.32054
604,Wu Yanan,0.2,1.39996
605,Leonardo Santos,0.7778,1.32054
606,Daniel Lacerda,0.0,2.32
607,Priscila Cachoeira,0.4444,1.32054
608,Bruno Silva,0.4444,2.89
609,Jason Witt,0.4,6.9
610,Thiago Santos,0.6087,1.32054
611,Brogan Walker,0.0,0.0
612,Sam Alvey,0.4545,1.32054
613,Cory McKenna,0.6667,2.22
614,Julianna Pena,0.7,2.73
615,Nicolae Negumereanu,0.8,1.39996
616,Mason Jones,0.5,3.16
617,Makwan Amirkhani,0.5385,3.96
618,Mandy Bohm,0.0,0.72
619,Claudio Silva,0.7143,3.32
620,Shane Burgos,0.7,1.32054
621,Dwight Grant,0.5,1.32054
622,Rafael Dos Anjos,0.6,2.75
623,Jared Vanderaa,0.2857,1.15
624,Antonina Shevchenko,0.5,2.0
625,Ronnie Lawrence,1.0,10.86
626,Ian Garry,1.0,0.77
627,Uriah Hall,0.5556,2.0
628,Jessica Eye,0.3571,0.58
629,Raulian Paiva,0.5714,1.32054
630,Maria Oliveira,0.25,0.95
631,Eddie Wineland,0.5,1.32054
632,Ramona Pascual,0.0,1.81
633,Felice Herrig,0.5556,1.39996
634,Niklas Stolze,0.0,0.93
635,Johnny Munoz,0.4,2.66
636,Jeff Molina,1.0,0.0
637,Omar Morales,0.5714,0.71
638,Frank Camacho,0.2857,2.0
639,Michael Chandler,0.5714,2.57
640,Francisco Trinaldo,0.72,1.32054
641,Macy Chiasson,0.7,2.37
642,Blagoy Ivanov,0.4286,1.32054
643,Kleydson Rodrigues,0.5,0.6
644,Ariane Carnelossi,0.5,1.37
645,Gabe Green,0.5,0.83
646,Gina Mazany,0.2857,4.7
647,Maycee Barber,0.8182,1.44
648,Preston Parsons,0.5,3.53
649,Marcin Prachnio,0.4444,1.32054
650,Dean Barry,,0.0
651,Mounir Lazzez,0.6667,4.0
652,Chris Barnett,0.5,0.0
653,Istela Nunes,0.0,0.0
654,Vinc Pichel,0.7,5.3333
655,Aspen Ladd,0.6667,2.45
656,Aleksei Oleinik,0.5625,3.01
657,Askar Askarov,1.0,4.0
658,Sara McMann,0.625,4.67
659,Aliaskhab Khizriev,1.0,5.64
660,Luis Saldana,0.6667,0.64
661,Mike Grundy,0.3333,4.06
662,Marlon Moraes,0.6154,1.32054
663,Trevin Jones,0.25,1.17
664,Sabina Mazo,0.5,2.0
665,Dalcha Lungiambula,0.3333,2.83
666,Kris Moutinho,0.0,0.0
667,Tafon Nchukwi,0.5,1.15
668,Colby Covington,0.8,5.69
669,Serghei Spivac,0.6364,9.93
670,Maryna Moroz,0.5455,1.32054
671,Devonte Smith,0.6667,1.39996
672,Alejandro Perez,0.7273,1.39996
673,Ramiz Brahimaj,0.4,2.05
674,Kyle Daukaus,0.5,2.5
675,Parker Porter,0.5714,1.91
676,Chas Skelly,0.6364,1.74
677,Bobby Green,0.5833,1.53
678,Roxanne Modafferi,0.3077,1.55
679,Alexis Davis,0.5625,1.39996
680,Francis Ngannou,0.8462,1.39996
681,Silvana Gomez Juarez,0.3333,0.0
682,Kay Hansen,0.3333,2.41
683,Dakota Bush,0.0,2.4
684,Jamie Pickett,0.2727,1.48
685,Dustin Stoltzfus,0.375,3.45
686,Sijara Eubanks,0.5556,2.5
687,Ryan Hall,0.8,1.32054
688,Randy Costa,0.4,1.32054
689,Maki Pitolo,0.3333,2.27
690,Louis Smolka,0.5,2.0
691,Ben Rothwell,0.6667,2.5
692,Felicia Spencer,0.4,1.36
693,Cortney Casey,0.4286,1.32054
694,Al Iaquinta,0.6429,2.0
695,Gian Villante,0.4545,1.39996
696,Melsik Baghdasaryan,0.75,0.0
697,Shamil Gamzatov,1.0,0.0
698,Hu Yaozong,0.0,1.32054
699,Khama Worthy,0.5,0.0
700,Livinha Souza,0.6,3.35
701,Andrew Sanchez,0.5556,6.0
702,Batgerel Danaa,0.5,0.52
703,Charles Rosa,0.4167,4.0
704,Alex Oliveira,0.55,2.86
705,Bethe Correia,0.5,1.32054
706,Nick Diaz,0.7308,1.3
